title,attack_type,attack_type_code,description,year,month,day,Africa,Asia,Australia,Europe,North America,South America,reference_title,reference_url
Facebook page of the local branch of a political party in Austria hacked,Hacking,3,"SPÖ Müllendorf - Müllendorf, Burgenland, Austria",2024,4,1,0,0,0,1,0,0,Hackerangriff auf Facebookseite der SPÖ Müllendorf,meinbezirk.at
Cyber attack on a construction company in Germany,Hacking,3,"Max Wild GmbH - Berkheim, Baden-Württemberg, Germany (Landkreis Biberach)",2024,4,25,0,0,0,1,0,0,Cyberangriff auf Max Wild GmbH,maxwild.com
Cyber attack on a city government in France,Hacking,3,"Ville de Gravelines - Gravelines, Hauts-de-France, France",2024,4,25,0,0,0,1,0,0,Notre ville est actuellement victime d’une cyber-attaque.,facebook.com
"Cyber attack on a traffic management system in Missouri, USA",Hacking,3,"KC Scout - Kansas City, Missouri, USA (Jackson County, Clay, Cass, Platte County)",2024,4,25,0,0,0,0,1,0,KC Scout Alert,facebook.com
Mail account of a city government in Belgium hacked,Hacking,3,"Deinze, Flemish Region, Belgium",2024,4,24,0,0,0,1,0,0,Stadsdiensten van Deinze geplaagd door cyberaanval: “Onze servers en databases met gegevens bleven gespaard”,nieuwsblad.be
A municipality in Argentina loses 19 million pesos due to hacker attack,Cyber incident,0,"San Agustín, Provincia de Santa Fe, Argentina",2024,4,1,0,0,0,0,0,1,LA COMUNA DE SAN AGUSTÍN VÍCTIMA DE DELITO CIBERNÉTICO.,facebook.com
Cyber attack on a municipality in Canada,Hacking,3,"Municipalité La Guadeloupe - La Guadeloupe, Québec, Canada",2024,4,23,0,0,0,0,1,0,"Le 23 avril dernier, la Municipalité de La Guadeloupe a subi une cyberattaque.",facebook.com
Website of a Czech news agency hacked,Hacking,3,České noviny (ČN) / Česká tisková kancelář (ČTK) - Czech Republik,2024,4,23,0,0,0,1,0,0,"UPOZORNĚNÍ ČTK: Útočník napadl web České noviny, zpravodajský servis ČTK dotčen nebyl",ctk.cz
"Cyber attack on a logistics company in Sweden, alcohol could become scarce",Hacking,3,Skanlog - Sweden,2024,4,1,0,0,0,1,0,0,Hackerangrep kan gi tomme hyller hos Systembolaget,e24.no
Cyber attack on a city government in France,Hacking,3,"Ville d'Albi - Albi, Occitanie, France",2024,4,22,0,0,0,1,0,0,La Ville d'Albi victime d'une attaque informatique,mairie-albi.fr
"Cyber attack on a company in Bavaria, Germany",Hacking,3,"Bad Wörishofen, Bavaria, Germany (Landkreis Unterallgäu)",2024,4,20,0,0,0,1,0,0,Cyberangriff auf Firma in Bad Wörishofen: Hacker verschlüsseln Daten,augsburger-allgemeine.de
Cyber incident at a retail chain in Mexico,Cyber incident,0,Coppel - Mexico,2024,4,1,0,0,0,0,1,0,Coppel confirma incidente de seguridad en su sistema,heraldodemexico.com.mx
Cyber attack on a research company in the USA,Hacking,3,"Mitre Corporation - Bedford, Massachusetts, USA (Middlesex County)",2024,1,1,0,0,0,0,1,0,MITRE Response to Cyber Attack in One of Its R&D Networks,mitre.org
Cyber attack on a logistics company in Australia,Hacking,3,"Barnett's Couriers - Wollongong, New South Wales, Australia",2024,4,1,0,0,1,0,0,0,Cyber attack knocks out Wollongong trucking firm for second week,illawarramercury.com.au
Cyber attack on a professional association in Canada,Hacking,3,"Ordre des infirmières et infirmiers du Québec (OIIQ) - Montreal, Québec, Canada",2024,4,19,0,0,0,0,1,0,"Le 19 avril, une activité irrégulière a été détectée dans les systèmes informatiques",oiiq.org
Cyber attack on a service provider in Switzerland,Hacking,3,"Swisspro - Urdorf, Canton of Zurich, Switzerland",2024,4,1,0,0,0,1,0,0,Cyberangriff auf BKW-Tochter Swisspro,inside-it.ch
Cyber attack on a sports retail chain in France,Hacking,3,"Sport 2000 France - Égly, Île-de-France, France",2024,4,1,0,0,0,1,0,0,Alerte Cybersécurité,sport2000.fr
Attack on the website of a political party in Belgium,Cyber incident,0,"Vooruit - Brussels, Région de Bruxelles-Capitale, Belgium",2024,4,1,0,0,0,1,0,0,Vooruit Brussels website hacked and taken offline,brusselstimes.com
Cyber attack on a planning company in Germany,Hacking,3,"Hospitaltechnik Planungsgesellschaft - Krefeld, North Rhine-Westphalia, Germany",2024,4,1,0,0,0,1,0,0,aktueller Cybervorfall bei der Hospitaltechnik,ht-hospitaltechnik.de
Cyber attack on a laboratory service provider in Italy,Hacking,3,"Synlab Italia - Monza, Lombardy, Italy",2024,4,18,0,0,0,1,0,0,Attacco hacker ai sistemi informatici di SYNLAB Italia,synlab.it
Cyber attack on a retail chain for floor coverings in the United Kingdom,Hacking,3,"Carpetright - Purfleet-on-Thames, England, United Kingdom",2024,4,18,0,0,0,1,0,0,Carpetright customers hit by cyber attack as firm struggles to fill orders after hackers target company HQ,thesun.co.uk
Cyber attack on a electronics manufacturer in Austria,Hacking,3,"BECOM Electronics - Hochstraß (Lockenhaus), Burgenland, Austria",2024,4,1,0,0,0,1,0,0,"wie bereits vorige Woche am 17.04.2024 informiert, konnte BECOM einen Cyberangriff rechtzeitig stoppen",becom-group.com
Cyber incident at a clinic in Canada,Cyber incident,0,"Mount Carmel Clinic - Winnipeg, Manitoba, Canada",2024,4,17,0,0,0,0,1,0,Security Event,mountcarmel.ca
Cyber attack on a media company in Ukraine,Hacking,3,"1+1 Media Group, ТРК «Студія 1+1» - Kyiv, Ukraine",2024,4,17,0,0,0,1,0,0,Ukraine's 1+1 media group satellite TV channels hit by cyberattack,reuters.com
"Cyber attack on an administrative organization in the state of New York, USA",Hacking,3,"New York state Legislature's bill drafting office - Albany, New York, USA (Albany County)",2024,4,17,0,0,0,0,1,0,Cyberattack hits New York state government's bill drafting office,abcnews.go.com
Cyber attack on a U.S. fisheries management organization,Hacking,3,"Atlantic States Marine Fisheries Commission - Arlington, Virginia, USA (Arlington County)",2024,4,1,0,0,0,0,1,0,Atlantic fisheries body confirms cyber incident after 8Base ransomware gang claims breach,therecord.media
"Cyber attack on a pharmaceutical company in New Jersey, USA",Hacking,3,"Octapharma USA - Paramus, New Jersey, USA (Bergen County)",2024,4,17,0,0,0,0,1,0,News Update,octapharma.com
"Cyber attack on a school district in Georgia, USA",Hacking,3,"Glynn County School District - Brunswick, Georgia, USA (Glynn County)",2024,4,17,0,0,0,0,1,0,Glynn County School District restores internet access following cyberattack,news4jax.com
Cyber attack on a hospital in France,Hacking,3,"Centre hospitalier Simone Veil - Cannes, Provence-Alpes-Côte d’Azur, France",2024,4,16,0,0,0,1,0,0,Les six informations à retenir sur la cyberattaque que subit l'hôpital de Cannes,france3-regions.francetvinfo.fr
Cyber attack on a dairy in Sweden,Hacking,3,"Norrmejerier - Umeå, Västerbottens län, Sweden",2024,4,16,0,0,0,1,0,0,Cyberangrepp mot Norrmejerier i Umeå – produktionen nere,svt.se
"Cyber attack on a county government in Georgia, USA",Hacking,3,"Coffee County - Douglas, Georgia, USA (Coffee County)",2024,4,15,0,0,0,0,1,0,Cyberattack hits Georgia county at center of voting software breach,cyberscoop.com
Cyber attack on a welfare association in Germany?,Hacking,3,"AWO Unterbezirk Münsterland-Recklinghausen - Herten, Nordrhein-Westfalen, Germany (Kreis Recklinghausen)",2024,4,1,0,0,0,1,0,0,Hackerangriff mit Folgen für Kitas und Pflegedienste,wn.de
Unauthorized access at a telecommunications provider in the USA,Hacking,3,"Frontier Communications - Dallas, Texas, USA (Dallas County & Collin, Kaufman, Rockwall County)",2024,4,14,0,0,0,0,1,0,Form 8-K,sec.gov
"Cyber attack on a school district in California, USA?",Hacking,3,"Hacienda La Puente Unified School District (HLPUSD) - City of Industry, California, USA (Los Angeles County)",2024,4,12,0,0,0,0,1,0,Hacienda La Puente Unified reports potential cyber hack,sgvtribune.com
Cyber attack on a U.S. think tank,Hacking,3,"Heritage Foundation - Washington, D.C., USA",2024,4,1,0,0,0,0,1,0,US think tank Heritage Foundation hit by cyberattack,techcrunch.com
Cyber attack on a distributor of learning materials in the Netherlands,Hacking,3,"Iddink Learning Materials - Ede, Gelderland, Netherlands",2024,4,11,0,0,0,1,0,0,Cyberaanval Iddink Learning Materials,iddink.nl
Association of municipalities in France affected by cyber attack,Hacking,3,"Saint-Nazaire Agglo - Saint-Nazaire, Pays de la Loire, France",2024,4,10,0,0,0,1,0,0,Cyber-attaque à Saint-Nazaire,saintnazaireagglo.fr
City government in France affected by cyber attack,Hacking,3,"Ville de Saint-Nazaire - Saint-Nazaire, Pays de la Loire, France",2024,4,10,0,0,0,1,0,0,Cyber-attaque à Saint-Nazaire,saintnazaire.fr
Development company in France affected by cyber attack,Hacking,3,"SONADEV - Saint-Nazaire, Pays de la Loire, France",2024,4,10,0,0,0,1,0,0,Cyber-attaque,sonadev.fr
Planning office in France affected by cyber attack,Hacking,3,"Agence d’urbanisme de la région de Saint-Nazaire (ADDRN) - Saint-Nazaire, Pays de la Loire, France",2024,4,10,0,0,0,1,0,0,Cyber-attaque à Saint-Nazaire,saintnazaireagglo.fr
DDoS attacks on websites of the public sector in Slovenia,Ddos,2,Slovenia,2024,4,10,0,0,0,1,0,0,Slovenia hit by another cyberattack,sloveniatimes.com
Cyber attack on a labor union in the United Kingdom,Hacking,3,"Aslef - London, United Kingdom",2024,1,1,0,0,0,1,0,0,UK trade unions hit by spate of cyber attacks,ft.com
"Cyber attack on a casino in Washington, USA",Hacking,3,"Swinomish Casino & Lodge - Anacortes, Washington, USA (Skagit County)",2024,4,1,0,0,0,0,1,0,We are investigating a cybersecurity incident that has affected our operations.,swinomishcasinoandlodge.com
"Cyber attack on a county government in North Carolina, USA",Hacking,3,"Robeson County - Lumberton, North Carolina, USA (Robeson County)",2024,4,10,0,0,0,0,1,0,Data security breach impacts some Robeson County departments,wpde.com
Malware on the website of a motorcycle dealer in Australia,Malware,4,"MotorCycle Holdings / Sherco, Lambretta - Springwood, Queensland, Australia",2024,4,1,0,0,1,0,0,0,SHERCO AND LAMBRETTA DATA BREACH,clients3.weblink.com.au
Cyber attack on a credit union in El Salvador,Hacking,3,Sociedad de Ahorro y Crédito Constelación - El Salvador,2024,4,1,0,0,0,0,1,0,Comunicado Importante,facebook.com
Cyber attack on a information services company in Germany,Hacking,3,"GBI-Genios Deutsche Wirtschaftsdatenbank - Munich, Bavaria, Germany",2024,4,8,0,0,0,1,0,0,Aufgrund eines massiven Hackerangriffs sind unsere Server aktuell nicht erreichbar.,genios.de
"Cyber attack on a social aid organization in Baden-Württemberg, Germany",Hacking,3,"St. Elisabeth-Stiftung - Bad Waldsee, Baden-Württemberg, Germany (Landkreis Ravensburg)",2024,4,1,0,0,0,1,0,0,Cyberangriff auf die St. Elisabeth-Stiftung,st-elisabeth-stiftung.de
Website of a French committee distorted,Unknown,7,"Conseil de l'emploi, des revenus et de la cohésion sociale (CERC) - France",2024,4,8,0,0,0,1,0,0,Cyberattaque : le site gouvernemental du CERC piraté par des hackers turcs,cnews.fr
Cyber attack on a veterinary services provider,Hacking,3,"Diss, England, United Kingdom",2024,4,1,0,0,0,1,0,0,Notice of Cyber Incident,polaris.brighterir.com
Unauthorized access at the customs authority of the Philippines,Hacking,3,"Bureau of Customs (BoC) / Kawanihan ng Adwana - Manila / Lungsod ng Maynila, Metro Manila / Kalakhang Maynila, Philippines",2024,4,7,0,1,0,0,0,0,BOC boosts cybersecurity measures after data breach,pna.gov.ph
Cyber attack on the Israeli Ministry of Justice,Hacking,3,"מִשְׂרָד הַמִשְׁפָּטִים - Jerusalem / ירושלים, Israel",2024,4,1,0,1,0,0,0,0,לא רק משרד המשפטים: ארגון 'אנונימוס' בתקיפה נוספת - על תומכת ישראל,maariv.co.il
"Cyber attack on a library in California, USA",Hacking,3,"Solano County Library - Fairfield, California, USA (Solano County)",2024,4,5,0,0,0,0,1,0,Cyberattack cripples Solano County library computer system,vallejosun.com
Cyber attack on a provider of it accessories,Hacking,3,"Targus - Anaheim, California, USA (Orange County)",2024,4,5,0,0,0,0,1,0,Form 8-K,sec.gov
Ransomware at a medical practice in Germany,Ransomware,6,"Bielefeld Fertility Center - Bielefeld, North Rhine-Westphalia, Germany",2024,4,4,0,0,0,1,0,0,Sicherheitsvorfall im Bielefeld Fertility Center,kinderwunsch-bielefeld.de
Ransomware at a association of municipalities in France,Ransomware,6,"Communauté de Communes du Bassin de Pont-à-Mousson (CCBPAM) - Pont-à-Mousson, Grand Est, France",2024,4,4,0,0,0,1,0,0,Le réseau informatique de la Communauté de Communes a été attaqué à 23h43 hier soir.,facebook.com
"Cyber attack on a county government in Florida, USA",Hacking,3,"Hernando County - Brooksville, Florida, USA (Hernando County)",2024,4,1,0,0,0,0,1,0,Government and Constitutional Offices Experience Network Interruption,hernandocounty.us
Cyber attack on a call centers,Hacking,3,"OracleCMS - Melbourne, Victoria, Australia",2024,4,1,0,0,1,0,0,0,Huge trove of Australian client data leaked following OracleCMS call centre hack,cyberdaily.au
City government in Australia affected by unauthorized access at a call center,Hacking,3,"Darebin City Council - Darebin, Victoria, Australia",2024,4,1,0,0,1,0,0,0,Oracle CMS Security issue,darebin.vic.gov.au
City government in Australia affected by unauthorized access at a call center,Hacking,3,"Knox City Council - Knox City, Victoria, Australia",2024,4,1,0,0,1,0,0,0,Cyber security incident,knox.vic.gov.au
City government in Australia affected by unauthorized access at a call center,Hacking,3,"Manningham Council - Manningham, Victoria, Australia",2024,4,1,0,0,1,0,0,0,Data cyber security incident and Manningham after hours service,manningham.vic.gov.au
City government in Australia affected by unauthorized access at a call center,Hacking,3,"Whitehorse City Council - Whitehorse, Victoria, Australia",2024,4,1,0,0,1,0,0,0,Data security breach involving Oracle CMS,whitehorse.vic.gov.au
City government in Australia affected by unauthorized access at a call center,Hacking,3,"Yarra City Council - Yarra, Victoria, Australia",2024,4,1,0,0,1,0,0,0,Cyber Security Incident,yarracity.vic.gov.au
Local government in Australia affected by unauthorized access at a call center,Hacking,3,"City of Port Phillip - St. Kilda, Victoria, Australia",2024,4,1,0,0,1,0,0,0,Third party cyber security incident,portphillip.vic.gov.au
