id,day,month,year,source_database,source_database_encoded,attack_description,industry_type,industry_type_group,industry_type_group_encoded,subcategory,subcategory_group,subcategory_group_encoded,attack_details,ti_safe_score,impact,link_at_the_internet,Africa,Asia,Australia,Europe,North America,South America
1338,15,8,2024,TI Safe,4,"A massive cyberattack disrupted Iran's Central Bank, causing widespread banking system failures during a tense geopolitical climate.",Financial,Financial,5,Banking and Finance,Financial,13,"The Central Bank of Iran suffered a major cyberattack, leading to widespread disruptions in the country's banking system. The attack occurred during heightened tensions in the Middle East, with potential ramifications for international relations and econo",4.0,"Severe disruptions in Iran's banking system, with potential geopolitical consequences amid regional tensions.",israelhayom.com,0,1,0,0,0,0
1337,15,8,2024,TI Safe,4,"A previously unknown threat actor, dubbed Actor240524, targeted Azerbaijani and Israeli diplomats using spear-phishing to steal sensitive data.",Public,Public,9,"Gpver,emt",Government,14,"In July 2024, a newly identified threat actor, Actor240524, launched a series of spear-phishing attacks targeting diplomats in Azerbaijan and Israel. The campaign aimed to steal sensitive data using a complex chain of attacks, beginning with phishing emai",4.0,Compromise of sensitive diplomatic data through sophisticated spear-phishing techniques and advanced malware.,thehackernews.com,0,1,0,1,0,0
1336,15,8,2024,TI Safe,4,The Iranian state-backed group APT42 launched a massive phishing campaign targeting high-profile individuals linked to the U.S. presidential election,Public,Public,9,Government and Elections,Government,14,"Between February and late July 2024, APT42, a sophisticated Iranian state-sponsored cyber group associated with the Islamic Revolutionary Guard Corps (IRGC), carried out a massive phishing campaign aimed at disrupting the U.S. presidential election. The g",4.0,"Successful breaches of accounts across multiple email providers, with a significant threat to the integrity of the U.S. presidential election. High-profile individuals, including government officials and campaign workers, were targeted.",cybersecuritynews.com,0,0,0,0,1,0
1335,14,8,2024,TI Safe,4,"The ThreeAM ransomware targeted Kootenai Health, compromising sensitive data of 464,000 patients, including personal and medical information.",Health and Homecare,Health and Homecare,6,Healthcare,Healthcare,15,"The ThreeAM ransomware attack, which began on February 22, 2024, resulted in the exposure of sensitive data of more than 464,000 patients of Kootenai Health. The attack compromised names, dates of birth, Social Security numbers, driver's licenses, medical",4.0,"Personal and medical data of 464,000 patients exposed after a ransomware attack; involved critical information such as Social Security numbers and medical histories.",securityaffairs.com,0,0,0,0,1,0
1334,14,8,2024,TI Safe,4,"The Brain Cipher ransomware group crippled Indonesia's national data center, causing widespread service disruptions.",Government,Public,9,Public Administration,Government,14,"Brain Cipher ransomware group targeted Indonesia's national data center, leading to widespread service disruptions in over 200 government agencies. The group, also linked to other ransomware identities, abandoned its $8 million ransom demand under pressur",4.0,Severe disruptions to government services and public infrastructure across Indonesia; attackers abandoned ransom demands.,darkreading.com,0,1,0,0,0,0
1333,12,8,2024,TI Safe,4,OpenVPN vulnerabilities on Windows platforms could lead to remote code execution and full control over endpoints.,Tecnology,Technology,10,Software,Technology,24,"Microsoft's discovery of multiple vulnerabilities in OpenVPN, which could be exploited for remote code execution on Windows platforms, underscores the potential risks to global technology infrastructure. These flaws, if chained together, could allow attac",2.0,"Potential for widespread exploitation if vulnerabilities are chained together, risking significant security breaches.",securityweek.com,1,1,1,1,1,1
1332,12,8,2024,TI Safe,4,"Iranian actors allegedly hacked Trump's campaign, stealing and compromising sensitive election data.",Public,Public,9,Policy,Government,14,"Iranian hackers allegedly targeted the Trump re-election campaign, stealing sensitive election data through a phishing attack. This breach, part of broader foreign interference efforts, raises concerns over the integrity of the 2024 US elections. The atta",3.0,Significant political implications with potential to influence the 2024 US elections.,,0,0,0,0,1,0
1331,12,8,2024,TI Safe,4,"Hackers impersonated Ukraine’s Security Service, using phishing emails to infect over 100 government computers with malware.",Government,Public,9,Public Administration,Government,14,"Starting in July 2024, attackers impersonated the Security Service of Ukraine to send phishing emails that infected over 100 government computers with AnonVNC malware. The malware allowed covert access to these systems, compromising sensitive government o",3.0,"Significant compromise of government systems, affecting central and local government bodies.",bleepingcomputer.com,0,0,0,1,0,0
1328,5,8,2024,TI Safe,4,Exploitable design flaws in Windows Smart App Control and SmartScreen allow bypassing security features.,Technology,Technology,10,Global,Country,6,"Researchers found design flaws in Windows Smart App Control and SmartScreen that could be exploited to bypass security warnings. This vulnerability enables attackers to gain initial access to systems without triggering alerts, posing significant risks.",3.0,"Design flaws allow threat actors to bypass security features, enabling potential unauthorized access.",thehackernews.com,1,1,1,1,1,1
1327,6,8,2024,TI Safe,4,"Ransomware attack on OneBlood disrupted operations, forcing manual processes for blood collection and distribution.",Healthcare,Health and Homecare,6,Health and Social Care,Healthcare,15,"The ransomware attack on OneBlood on July 29th, 2024, severely disrupted the organization's IT systems, forcing a shift to manual processes for blood collection and distribution. The attack threatened the blood supply to over 250 hospitals in the southeas",3.0,"Severe operational disruptions at a critical blood donation center, impacting patient care.",hackread.com,0,0,0,0,1,0
1326,6,8,2024,TI Safe,4,CVE-2024-38856 in Apache OFBiz ERP allows unauthenticated remote code execution via a pre-authentication flaw.,Technology,Technology,10,Global,Country,6,A critical zero-day vulnerability (CVE-2024-38856) in Apache OFBiz ERP system allows unauthenticated users to execute code remotely. This high-severity flaw can lead to full system compromise and has been actively exploited in the wild.,4.0,"Critical vulnerability enabling remote code execution, leading to potential system compromise.",thehackernews.com,1,1,1,1,1,1
1325,6,8,2024,TI Safe,4,"CVE-2024-36971 in Android kernel exploited for remote code execution, targeting specific devices.",Technology,Technology,10,Global,Country,6,"The CVE-2024-36971 vulnerability in the Android kernel has been actively exploited in targeted attacks. The flaw allows for remote code execution, potentially by commercial spyware vendors, impacting a broad range of devices.",3.0,"Exploitation of a kernel vulnerability allowing remote code execution, potentially used by spyware vendors.",thehackernews.com,1,1,1,1,1,1
1324,6,8,2024,TI Safe,4,"LianSpy uses Yandex Cloud for C2, capturing user data including screencasts, files, call logs, and more.",Technology,Technology,10,Russia,Country,6,"LianSpy, a sophisticated Android spyware, utilizes Yandex Cloud for command and control. It collects screencasts, user files, call logs, and app lists while avoiding detection through legitimate cloud infrastructure.",3.0,Spyware exfiltrates personal data and evades detection using legitimate cloud services.,thehackernews.com,0,1,0,0,0,0
1323,6,8,2024,TI Safe,4,"North Korean group pushed malicious npm packages targeting Windows systems, involving data exfiltration and malware deployment.",Technology,Technology,10,Global,Country,6,"The North Korean group Moonstone Sleet pushed malicious npm packages to infect systems. The packages were designed to exfiltrate data and deploy additional malware, targeting users globally.",3.0,Deployment of malicious npm packages aiming at infecting systems with malware.,thehackernews.com,1,1,1,1,1,1
1321,29,7,2024,TI Safe,4,Coordinated sabotage of fiber optic networks in France disrupted telecom services during the Olympic Games.,Communication and telecommunications,Technology,10,Telecommunications,Technology,24,"A coordinated sabotage of fiber optic networks across six regions in France, including areas hosting Olympic events, led to major disruptions in telecommunications. This incident, occurring during the 2024 Olympics, resulted in widespread internet and pho",3.0,"Significant disruptions in internet, phone services, and TGV train operations, affecting public services and Olympic events.",g1.globo.com,0,0,0,1,0,0
1320,25,7,2024,TI Safe,4,"North Korean hacker indicted for targeting US hospitals with ransomware, disrupting patient care and extorting money.",Healthcare,Health and Homecare,6,Health and Social Care,Healthcare,15,"Rim Jong Hyok, a North Korean hacker associated with the cyberespionage group Andariel, was indicted for hacking US hospitals. The group's ransomware attacks disrupted patient care and extorted ransom payments, with the proceeds funding further cyber intr",4.0,"Compromised patient care, extorted ransom, and international security concerns.",hackread.com,0,0,0,0,1,0
1319,24,7,2024,TI Safe,4,"North Korean hackers attempting to steal nuclear and military secrets from governments and private companies worldwide, according to the US and UK.",Nuclear,Energy,4,Defense/National,Defense and national protection,8,"North Korean hackers, known as Andariel and Onyx Sleet, are attempting to steal nuclear and military secrets from governments and private companies worldwide. The group targets defense, aerospace, nuclear, and engineering entities to obtain classified inf",4.0,Data leakage,,1,1,1,1,1,1
1318,24,7,2024,TI Safe,4,"Government's accounting system suffered a cyber incident, affecting administrative processes in nine ministries and two agencies.",Governemnt,Public,9,Public Administration,Government,14,"On July 22, 2024, the Electronic Information System (SEI) and some functionalities of the National Electronic Process (PEN) experienced a cyber security incident. The SEI, crucial for the electronic handling of administrative processes in nine ministries ",4.0,"The Electronic Information System (SEI) was taken offline, impacting administrative processes of nine ministries and two federal agencies.",,0,0,0,0,0,1
1317,23,7,2024,TI Safe,4,Russian-linked malware disabled heating in 600 buildings in Lviv during freezing temperatures for two days in January.,Energy,Energy,4,Critical Infrastructure,Critical Infrastructure,7,"The FrostyGoop malware attack on Lviv's energy company in January 2024 disrupted heating for over 600 buildings, leaving residents in freezing conditions. The attackers, linked to Russian sources, gained access to the network nearly a year before the atta",3.0,"Significant impact on civilian life, with potential life-threatening consequences due to extreme cold exposure.",cybernews.com,0,0,0,1,0,0
1316,22,7,2024,TI Safe,4,"Ransomware attack crippled Los Angeles County's court systems, forcing the closure of 36 courthouses and halting critical operations.",Government,Public,9,Public Administration,Government,14,"The ransomware attack on July 19th, 2024, severely disrupted Los Angeles County's court operations. All 36 courthouses were closed, halting inmate transfers, evictions, and other critical services. Public access to court information was also hindered, and",4.0,"Major disruption of court services, including inmate transfers and evictions; raised public safety concerns.",hackread.com,0,0,0,0,1,0
1313,10,6,2024,TI Safe,4,"Sticky Werewolf, a threat group, used phishing with LNK files to target the aviation industry in Russia and Belarus, aiming for espionage and data exfiltration.",Transport sector and,Transport,11,Aviation,Transport,25,"On June 10, 2024, Morphisec researchers observed the threat group Sticky Werewolf, first detected in April 2023, targeting entities in Russia and Belarus, including the aviation industry. The group used phishing with LNK files disguised in password-protec",3.0,"Extensive espionage and data exfiltration using RATs and stealers, affecting aviation and defense companies.",,0,1,0,0,0,0
1312,10,6,2024,TI Safe,4,"Hacker leaked 270GB of New York Times source code, including internal communications and user data, after accessing an exposed credential.",Media,Business,1,Jornalism,Media,18,"On June 10, 2024, an anonymous threat actor posted 270GB of New York Times source code on an imageboard website. The leak included approximately five thousand repositories, 3.6 million files, internal Slack communications, private user keys, and software ",3.0,"Leak of source code, internal communications, user keys, and data of 1500 users, including names, emails, and hashed passwords",,0,0,0,0,1,0
1311,9,6,2024,TI Safe,4,"Hackers breached a Disney server, stealing 2.5 GB of data, including internal corporate information, advertising plans, and Disney+ data.",Entertainment,Business,1,Disney,Media,18,"On June 9, 2024, The Walt Disney Company suffered a major cyberattack, where hackers breached a Disney Confluence server, stealing 2.5 GB of data. Initially, it was believed that the stolen data was only old user data from the Club Penguin game, but it wa",3.0,"Theft of internal corporate data, including future project information, developer tools, and potential customer data from Disney+.",,0,0,0,0,1,0
1309,7,6,2024,TI Safe,4,"Hacker ""Pills"" leaked data of 600,000 migrant workers in Tamil Nadu, India, and is selling the complete database on BreachForums.",Government,Public,9,Public Services,Public,21,"On June 7, 2024, a massive data breach was reported in the Indian state of Tamil Nadu, where data of over 600,000 migrant workers was allegedly leaked on the dark web. The hacker, identified as ""Pills,"" claimed to have leaked and is selling the complete d",3.0,"Leak of sensitive personal data of 600,000 migrant workers, exposing information such as name, phone number, date of birth, and bank details.",thecyberexpress.com,0,1,0,0,0,0
1308,7,6,2024,TI Safe,4,"GlorySec launched worm-type malware on companies in Guyana City, Venezuela, infiltrating over 100 systems and testing their capabilities.",Business,Business,1,Business,Business,3,"On June 7, 2024, the hacker group GlorySec revealed their latest cyber operation targeting companies in Guyana City, Venezuela. Using worm-type malware deployed via USB sticks, the group infiltrated the systems of over 100 companies, gaining full control ",3.0,"Infiltration of over 100 companies' systems, full access to PCs, and potential to destabilize Nicolás Maduro's regime.",dailydarkweb.net,0,0,0,0,0,1
1307,6,6,2024,TI Safe,4,"Hackers attacked UnitedHealth's technology unit, leaving community health centers struggling with red tape and operational issues.",Healthcare and Public Health,Health and Homecare,6,Health Services,Healthcare,15,"On June 6, 2024, more than three months after a cyberattack on UnitedHealth Group’s technology unit, community health centers serving 30 million low-income and uninsured patients are still dealing with red tape to receive back payments and struggling with",3.0,Community health centers face payment delays and operational difficulties three months after the attack.,teiss.co.uk,0,0,0,0,1,0
1306,6,6,2024,TI Safe,4,"Daixin Team claims ransomware attack, stealing 60-80GB of sensitive data from Dubai government, exposing personal information of millions of residents.",Government,Public,9,Public Services,Public,21,"On June 6, 2024, the ransomware group Daixin Team claimed to have attacked the government of Dubai, exfiltrating between 60 and 80 GB of data, including ID cards, passports, and other personal information. The government of Dubai, one of the richest and m",3.0,"Exfiltration of personal data, including ID cards, passports, and information of wealthy residents, exposing them to identity theft and phishing risks.",cybernews.com,0,1,0,0,0,0
1305,6,6,2024,TI Safe,4,"Hacker blocked IT systems of hospitals in Garbagnate, Rho, and Bollate, forcing the use of paper for essential services.",Hospital and health,Health and Homecare,6,Hospital Systems,Healthcare,15,"On June 6, 2024, a hacker attack hit Asst Rhodense, affecting the IT systems of hospitals in Garbagnate, Rho, and Bollate in Lombardy, Italy. The attack blocked the systems, forcing the use of manual methods to ensure essential emergency services. Urgent ",3.0,"IT systems blocked, scheduled surgeries suspended, ambulances redirected, and manual operation in emergency mode.",ruetir.com,0,0,0,1,0,0
1304,6,6,2024,TI Safe,4,"Russian group NoName057(16) announced an attack on European internet infrastructure during elections, citing retaliation against anti-Russian sanctions.",Tecnology,Technology,10,Information Technology,Technology,24,"On June 6, 2024, the Russian hacker group NoName057(16) announced plans to launch a cyberattack on European internet infrastructure during the European Parliament elections. The group accused the European Parliament of being a ""pseudo-democratic and Russo",3.0,"Potential disruption of European internet infrastructure during parliamentary elections, involving multiple hacker groups.",dailydarkweb.net,0,0,0,1,0,0
1303,5,6,2024,TI Safe,4,Chinese hackers stole sensitive intel on the South China Sea from a Southeast Asian government using advanced malware.,Government,Public,9,Governmental,Government,14,"Chinese hackers spent nearly two years targeting a high-level Southeast Asian government department to obtain information about the country's strategy regarding the disputed South China Sea. Three hacker groups, including APT15 and APT41, used advanced ma",4.0,"Theft of sensitive political, economic, and military information, compromising national security.",therecord.media,0,1,0,0,0,0
1302,5,6,2024,TI Safe,4,"Hacker breached Telangana Police's TSCOP app, leaking personal data of officers, criminals, and gun license holders.",Government,Public,9,Police,Defense and national protection,8,"On June 5, 2024, a hacker known as ""Adm1nFr1end"" claimed to have conducted a cyberattack on the TSCOP app of Telangana Police, India. The attack exposed personal information of police officers, including names, phone numbers, emails, and designations from",4.0,"Exposure of sensitive personal data of police, criminals, and citizens, compromising security and privacy.",thecyberexpress.com,0,1,0,0,0,0
1301,5,6,2024,TI Safe,4,"Massive DDoS attack by Ukraine disrupts essential services in Russia, affecting banks, civil records, and social networks.",Tecnology,Technology,10,Companies and Governmental,Government,14,"On June 5, 2024, Ukraine launched a large-scale DDoS attack against various Russian institutions, disrupting essential services. Specialists from Ukraine's Defence Intelligence (DIU) were responsible for the attack that affected electronic services of min",3.0,"Significant disruption of electronic services for ministries, banks, VKontakte social network, and the civil registration system.",cybernews.com,0,1,0,0,0,0
1298,4,6,2024,TI Safe,4,"State hackers accessed 22 email inboxes of British Columbia government employees, potentially compromising personal information.",Government,Public,9,Public Sector,Government,14,"Sophisticated cyberattack on British Columbia government networks by state hackers, compromising employees' personal information.",3.0,"Compromise of employees' personal information, with no evidence of misuse so far.",thecyberexpress.com,0,0,0,0,1,0
1297,4,6,2024,TI Safe,4,"Northern Minerals was targeted by Bian Lian ransomware, stealing over 1 TB of data, including sensitive operational and personal information.",Steel and mining,Manufacturing,8,Metals Mining,Steel and mining,23,"Northern Minerals, an Australian rare-earth metals producer, was targeted by the Bian Lian ransomware, which exfiltrated over 1 TB of data. Operational, financial, and personal information was compromised. The company is working with authorities and exper",3.0,"Exfiltration of corporate, financial, operational, and personal data, with potential impact on the security and privacy of employees and shareholders.




",cyberdaily.au,0,0,1,0,0,0
1296,4,6,2024,TI Safe,4," Cyberattack hits London hospitals connected to Synnovis, a pathology services company. Affected system prevents access to test results and forces cancellation of surgeries.",Healthcare and Public Health,Health and Homecare,6,Hospital Systems,Healthcare,15,"A cyberattack has struck London hospitals connected to Synnovis, a pathology services provider. The incident affected the system's access to test results, forcing the rescheduling of surgeries and raising concerns about impacts on emergency care.

The att",4.0,"The attack, suspected to be ransomware, is disrupting renowned hospitals like King's College Hospital, Guy's and St Thomas' (including the Royal Brompton and the Evelina London Children's Hospital).",bbc.com,0,0,0,1,0,0
1294,3,6,2024,TI Safe,4,"Hacker accessed confidential consumer information from ALN Medical Management, now part of Health Prime International, in a data security incident.",Hospital and health,Health and Homecare,6,Hospital Systems,Healthcare,15,"On May 23, 2024, ALN Medical Management, part of Health Prime International, reported a data breach incident to the U.S. Department of Health and Human Services. A hacker gained access to confidential consumer information through a ""hacking/IT incident"" o",3.0,"The breach resulted in unauthorized access to confidential consumer information, raising concerns about fraud and identity theft.",jdsupra.com,0,0,0,0,1,0
1293,3,6,2024,TI Safe,4,"Ransomware gang RansomHub attacks Frontier Communications, claiming access to sensitive data of over 2 million people.",Communication and telecommunications,Technology,10,Telecommunitacion,Technology,24,"In April 2024, Frontier Communications, a major telecommunications company, was targeted by the ransomware gang RansomHub. The group claimed to have spent over two months attempting to extort the company without success. In a report to the SEC, Frontier r",3.0,The attack caused significant operational disruption and involved the theft of personally identifiable information.,therecord.media,0,0,0,0,1,0
1290,3,6,2024,TI Safe,4,"Hackers stole data of 30 million Santander customers and employees in a supply chain attack, selling for $2 million on the dark web.",Financial,Financial,5,Santander,Financial,13,"The recent attack on Santander affected millions of customers and all of its staff. Following a supply chain attack, an unauthorized third party accessed a database with sensitive customer information. Hackers stole data from Santander’s banks in Chile, S",4.0,"Theft of personal and financial information of millions of customers and employees, exposure of data on the dark web, sale of stolen data.",techradar.com,0,0,0,1,0,1
1289,26,5,2024,TI Safe,4,Ransomhub's ransomware attack on SCADA systems of a Spanish bioenergy plant. Highlights dangers to Industrial Control Systems (ICS).,Energy,Energy,4,Industrial Control Systems (ICS),Critical Infrastructure,7,"The latest Ransomhub attack has raised alarms for the security of industrial control systems (ICS), specifically the SCADA system in a bioenergy plant in Spain. The group used ransomware to encrypt data and disrupt vital functions, highlighting the risks ",4.0,"Data encryption, disruption of essential functions in SCADA systems, persistent control over the systems.",thecyberexpress.com,0,0,0,1,0,0
1288,9,4,2024,TI Safe,4,Human rights activists in Morocco and Western Sahara are targeted with phishing attacks aiming to install malicious apps and collect credentials.,Activism,Public,9,Human Rights,Activism,0,"Human rights activists in Morocco and Western Sahara are being targeted by a new cyber threat group that leverages phishing attacks to install fake apps on Android devices and serve credential harvesting pages for Windows users. This attack, named Starry ",3.0,Information theft and risk of compromise to the security and privacy of activists.,thehackernews.com,1,0,0,0,0,0
1287,10,4,2024,TI Safe,4,"GHC-SCW suffered a ransomware attack with theft of user's personal information, highlighting cybersecurity vulnerabilities in healthcare.",Hospital and health,Health and Homecare,6,Healthcare services,Healthcare,15,"GHC-SCW was targeted in a ransomware attack resulting in the theft of user's personal information. This incident underscores the urgent need for stricter cybersecurity measures in the healthcare sector. The company acted swiftly to isolate the attack, rep",3.0,"Theft of sensitive personal information, cybersecurity concerns in healthcare.",gbhackers.com,0,0,0,0,1,0
