id,victim,industry,industry_group,industry__Agriculture,industry__Energy,industry__Manufacturing,industry__Mining,industry__Transportation,industry__Water,threat_actor,threat_actor_encoded,sites,ot_or_physical_consecuences,incident_summary,references,day,month,year,Africa,Asia,Australia,Europe,North America,South America
0,Stuxnet,Process Mfg.,Manufacturing,0,0,1,0,0,0,Nation State,1,1,Destroyed 1000 centrifuges at Natanz,Plant was infected by the Stuxnet worm in a targeted attack designed to disrupt Iran's nuclear enrichment program,en.wikipedia.org,15.0,7.0,2010.0,0,1,0,0,0,0
3,Iran's main oil export terminals,Oil & Gas,Energy,0,1,0,0,0,0,Nation State,1,6,Shutdown 6 terminals,"6 terminals ops. affected by Flame malware. News outlets confirm outage, despite Iran downplaying the attack's effects","bbc.com, iranprimer.usip.org",22.0,4.0,2012.0,0,1,0,0,0,0
12,German steel mill,Metals & Mining,Mining,0,0,0,1,0,0,Unknown,3,1,"Caused ""massive damage"" to plant equipment","Sophisticated attack using spear phishing and ICS knowledge to disable the control system, causing an uncontrolled shutdown of the blast furnace",bbc.com,22.0,12.0,2014.0,0,0,0,1,0,0
15,"Prykarpattyaoblenergo, Chernivtsioblenergo, Kyivoblenergo",Power,Energy,0,1,0,0,0,0,Nation State,1,32,Power outage lasts up to 6 hours affecting 230K people,First publicly known attack on a power grid occurs when threat actor Sandworm deploys BlackEnergy 3 malware into the utility's network,"en.wikipedia.org, arstechnica.com",13.0,12.0,2015.0,0,0,0,1,0,0
21,"Pivnichna substation, Kyiv",Power,Energy,0,1,0,0,0,0,Nation State,1,1,Power outage for 20% of Kyiv for over 1 hour,"Sandworm suspected in deploying Industroyer (also: CrashOverride) malware, by exploiting a vulnerability in Siemens SIPROTEC relays","en.wikipedia.org, arstechnica.com",17.0,12.0,2016.0,0,0,0,1,0,0
27,Renault-Nissan,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,5,"Shutdown plants in Douai, Sandouville, Slovenia, Pitesti, and Chennai for 1 day","WannaCry ransomware, spread by the ExternalBlue exploit, hit 5 plants for 1 day",industrialcybersecuritypulse.com,12.0,5.0,2017.0,0,1,0,1,0,0
33,AP Moller-Maersk / Gateway Terminals India (GTI),Transportation,Transportation,0,0,0,0,1,0,Ransomware,2,1,Shutdown operations at the JNPT GTI Terminal,"JNPT's GTI container terminal depends on Maersk's systems located in the Hague, which fell victim to a Petya ransomware attack",timesofindia.indiatimes.com,27.0,6.0,2017.0,0,1,0,0,0,0
39,Countless,All,All,1,1,1,1,1,1,Nation State,1,1,"Outages throughout many industries: one incident, countless victims","NotPetya malware, created by Russian actors targeting Ukraine, spreads indiscriminately through networks using the EternalBlue exploit, permanently encrypting data",wired.com,27.0,6.0,2017.0,1,1,1,1,1,1
48,AW North Carolina,Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,1,"Shutdown ops. for 4 hours, and caused a ripple delay effect in the auto supply chain","Just-in-time transmission component supplier to Toyota, Honda and others is hit by ransomware that slipped through firewall and AV software defenses","industrialcybersecuritypulse.com, apnews.com",16.0,8.0,2017.0,0,0,0,0,1,0
54,Taiwan Semiconductor Manufacturing Co (TSMC),Discrete Mfg.,Manufacturing,0,0,1,0,0,0,Ransomware,2,3,"Shutdown operations at Tainan, Hsinchu, and Taichung; Lost 3% in quarterly revenue","WannaCry ransomware caused the outage. Supplier installed software on some machines accidentally infected with the malware, without running AV",itpro.com,3.0,8.0,2018.0,0,1,0,0,0,0
